"filename", "language", "C", "C++", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\base\inc\ipgui_vector.h", "C", 15, 0, 0, 10, 25
"m:\test\ESDBox_IPGUI\base\src\ipgui_vector.c", "C", 197, 0, 18, 31, 246
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.h", "C++", 0, 0, 1, 1, 2
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.c", "C", 72, 0, 8, 10, 90
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.h", "C++", 0, 1, 0, 0, 1
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_vector.c", "C", -197, 0, -18, -31, -246
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_vector.h", "C", -15, 0, 0, -10, -25
"m:\test\ESDBox_IPGUI\widget\inc\ipgui_button.h", "C", 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\widget\src\ipgui_button.c", "C", 0, 0, 0, 1, 1
"m:\test\main.c", "C", 45, 0, -9, -6, 30
"Total", "-", 117, 1, 0, 7, 125
