"filename", "language", "Makefile", "C", "C++", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.c", "C", 0, 1814, 0, 52, 107, 1973
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.h", "C++", 0, 0, 35, 19, 16, 70
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.c", "C", 0, 8, 0, -10, 0, -2
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.h", "C++", 0, 0, 1, -3, 0, -2
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.c", "C", 0, -14, 0, -10, -1, -25
"m:\test\ESDBox_IPGUI\core\image\ipgui_image.h", "C", 0, -5, 0, -1, -1, -7
"m:\test\ESDBox_IPGUI\core\image\show\ipgui_draw_image.c", "C", 0, 11, 0, 5, 2, 18
"m:\test\ESDBox_IPGUI\core\image\show\ipgui_draw_image.h", "C++", 0, 0, 27, 11, 9, 47
"m:\test\Makefile", "Makefile", 2, 0, 0, 0, 0, 2
"m:\test\main.c", "C", 0, -2, 0, 24, 16, 38
"Total", "-", 2, 1812, 63, 87, 148, 2112
