"filename", "language", "C", "C++", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\al\hal\ipgui_action.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\al\hal\ipgui_action.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\al\hal\ipgui_pointer.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\al\hal\ipgui_pointer.h", "C++", 0, 17, 0, 0, 0, 1, 5, 23
"m:\test\ESDBox_IPGUI\core\composite\blend_icon\ipgui_blend_icon.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\composite\blend_icon\ipgui_blend_icon.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\box.html", "HTML", 0, 0, 0, 0, -57, 0, -3, -60
"m:\test\ESDBox_IPGUI\core\gfx\box_style.css", "PostCSS", 0, 0, 0, -35, 0, 0, -2, -37
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.c", "C", 75, 0, 0, 0, 0, 21, 16, 112
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.c", "C", 45, 0, 0, 0, 0, 5, 13, 63
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_wdf_mask.c", "C", 184, 0, 0, 0, 0, 16, 34, 234
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_wdf_mask.h", "C++", 0, 39, 0, 0, 0, 0, 12, 51
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_gradient_color.c", "C", 0, 0, 0, 0, 0, 2, 0, 2
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_buf.c", "C", 31, 0, 0, 0, 0, 0, 6, 37
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_buf.h", "C++", 0, 6, 0, 0, 0, 2, 4, 12
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_buf.c", "C", 0, 0, 0, 0, 0, -2, -1, -3
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_buf.h", "C++", 0, 0, 0, 0, 0, -13, -4, -17
"m:\test\ESDBox_IPGUI\core\gfx\readme.md", "Markdown", 0, 0, 50, 0, 0, 0, 14, 64
"m:\test\ESDBox_IPGUI\core\image\decoder\bmp\ipgui_bmp_dec.c", "C", 0, 0, 0, 0, 0, 1, 2, 3
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.c", "C", 0, 0, 0, 0, 0, 0, -2, -2
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.h", "C", -1, 0, 0, 0, 0, 0, 0, -1
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_draw.c", "C", 5, 0, 0, 0, 0, 1, 2, 8
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_draw.h", "C++", 0, 5, 0, 0, 0, 0, 4, 9
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_event..c", "C", 0, 0, 0, 0, 0, -5, 0, -5
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_event.c", "C", 0, 0, 0, 0, 0, 33, 2, 35
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_render.c", "C", 28, 0, 0, 0, 0, 1, 6, 35
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_temp.c", "C", 10, 0, 0, 0, 0, 8, 5, 23
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_temp.h", "C++", 0, 7, 0, 0, 0, 0, 4, 11
"m:\test\ESDBox_IPGUI\ipgui_core.h", "C", 7, 0, 0, 0, 0, 13, 5, 25
"m:\test\main.c", "C", -29, 0, 0, 0, 0, 62, 2, 35
"Total", "-", 355, 74, 50, -35, -57, 146, 131, 664
