"filename", "language", "Makefile", "C", "C++", "Markdown", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\Include\ipgui_types.h", "C", 0, 3, 0, 0, 1, 2, 6
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.c", "C", 0, 227, 0, 0, 46, 54, 327
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.h", "C", 0, 56, 0, 0, 8, 15, 79
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src.h", "C++", 0, 0, 14, 0, 2, 6, 22
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src_event.h", "C++", 0, 0, 28, 0, 2, 11, 41
"m:\test\ESDBox_IPGUI\al\hal\ipgui_action.c", "C", 0, 0, 0, 0, 0, -1, -1
"m:\test\ESDBox_IPGUI\al\hal\ipgui_action.h", "C++", 0, 0, 0, 0, 0, -1, -1
"m:\test\ESDBox_IPGUI\al\hal\ipgui_input.c", "C", 0, -139, 0, 0, -10, -25, -174
"m:\test\ESDBox_IPGUI\al\hal\ipgui_input.h", "C", 0, -81, 0, 0, 0, -17, -98
"m:\test\ESDBox_IPGUI\al\hal\ipgui_pointer.c", "C", 0, 0, 0, 0, 0, -1, -1
"m:\test\ESDBox_IPGUI\al\hal\ipgui_pointer.h", "C++", 0, 0, -17, 0, -1, -5, -23
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.c", "C", 0, -27, 0, 0, -21, -4, -52
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.h", "C", 0, -18, 0, 0, 18, -7, -7
"m:\test\ESDBox_IPGUI\base\inc\ipgui_norm_queue.h", "C++", 0, 0, 16, 0, 0, 6, 22
"m:\test\ESDBox_IPGUI\base\src\ipgui_norm_queue.c", "C", 0, 61, 0, 0, 15, 17, 93
"m:\test\ESDBox_IPGUI\base\src\ipgui_timer.c", "C", 0, -42, 0, 0, -3, -13, -58
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.c", "C", 0, 82, 0, 0, 8, 10, 100
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.h", "C++", 0, 0, 16, 0, 10, 3, 29
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.c", "C", 0, 1, 0, 0, 0, 0, 1
"m:\test\ESDBox_IPGUI\core\composite\ipgui_color.h", "C", 0, 25, 0, 0, 0, 7, 32
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.c", "C", 0, 0, 0, 0, 165, 22, 187
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.h", "C++", 0, 0, 0, 0, 40, 8, 48
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.c", "C", 0, 278, 0, 0, 31, 41, 350
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.h", "C++", 0, 0, -7, 0, -8, -6, -21
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.c", "C", 0, 45, 0, 0, -6, 2, 41
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_mask.c", "C", 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_mask.h", "C++", 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\gfx\readme.md", "Markdown", 0, 0, 0, 1, 0, 1, 2
"m:\test\ESDBox_IPGUI\core\image\proc\ipgui_image_geometry_transform.c", "C", 0, -1, 0, 0, 1, 0, 0
"m:\test\ESDBox_IPGUI\core\misc\ipgui_color.h", "C", 0, -25, 0, 0, 0, -7, -32
"m:\test\ESDBox_IPGUI\core\misc\ipgui_event.c", "C", 0, -392, 0, 0, -61, -95, -548
"m:\test\ESDBox_IPGUI\core\misc\ipgui_event.h", "C", 0, -138, 0, 0, -5, -27, -170
"m:\test\ESDBox_IPGUI\core\misc\ipgui_event_defs.h", "C++", 0, 0, -229, 0, -11, -21, -261
"m:\test\ESDBox_IPGUI\core\misc\ipgui_handler.c", "C", 0, -44, 0, 0, -23, -7, -74
"m:\test\ESDBox_IPGUI\core\misc\ipgui_handler.h", "C", 0, -25, 0, 0, -1, -3, -29
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.c", "C", 0, 0, 0, 0, -24, -2, -26
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.h", "C", 0, -1, 0, 0, 0, -1, -2
"m:\test\ESDBox_IPGUI\core\misc\ipgui_widget.c", "C", 0, -672, 0, 0, -99, -111, -882
"m:\test\ESDBox_IPGUI\core\misc\ipgui_widget.h", "C", 0, -108, 0, 0, -9, -28, -145
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.c", "C", 0, 339, 0, 0, 115, 75, 529
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.h", "C", 0, 101, 0, 0, 9, 29, 139
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_draw.c", "C", 0, -4, 0, 0, 4, 0, 0
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_evt.h", "C++", 0, 0, 33, 0, 4, 8, 45
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_geometry.c", "C", 0, 4, 0, 0, 0, 2, 6
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_geometry.h", "C++", 0, 0, 3, 0, 0, 0, 3
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_render.c", "C", 0, -7, 0, 0, 7, 0, 0
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_curve.c", "C", 0, -13, 0, 0, -9, -1, -23
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_curve.h", "C", 0, -1, 0, 0, 0, 0, -1
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_path.h", "C", 0, -1, 0, 0, 1, 0, 0
"m:\test\ESDBox_IPGUI\ipgui_conf.h", "C", 0, 11, 0, 0, 0, 1, 12
"m:\test\ESDBox_IPGUI\port\sdl\sdl_input_event.c", "C", 0, -85, 0, 0, -8, -13, -106
"m:\test\ESDBox_IPGUI\port\sdl\sdl_input_event.h", "C", 0, -5, 0, 0, 0, -1, -6
"m:\test\Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 2
"m:\test\main.c", "C", 0, -392, 0, 0, -94, -61, -547
"m:\test\main_test_gfx.c", "C", 0, 0, 0, 0, 670, 91, 761
"Total", "-", 2, -988, -143, 1, 764, -45, -409
