"filename", "language", "Makefile", "C", "C++", "Ini", "CMake", "Markdown", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\Include\ipgui_coord.h", "C", 0, 29, 0, 0, 0, 0, 1, 7, 37
"m:\test\ESDBox_IPGUI\Include\ipgui_defs.h", "C", 0, 38, 0, 0, 0, 0, 7, 16, 61
"m:\test\ESDBox_IPGUI\Include\ipgui_types.h", "C", 0, 63, 0, 0, 0, 0, 4, 16, 83
"m:\test\ESDBox_IPGUI\Include\ipgui_utils.h", "C", 0, 106, 0, 0, 0, 0, 32, 35, 173
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.c", "C", 0, 227, 0, 0, 0, 0, 46, 54, 327
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.h", "C", 0, 56, 0, 0, 0, 0, 8, 15, 79
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src.h", "C++", 0, 0, 14, 0, 0, 0, 2, 6, 22
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src_event.h", "C++", 0, 0, 28, 0, 0, 0, 2, 11, 41
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.c", "C", 0, 37, 0, 0, 0, 0, 2, 10, 49
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.h", "C", 0, 35, 0, 0, 0, 0, 19, 10, 64
"m:\test\ESDBox_IPGUI\al\vfs\ipgui_vfs.c", "C", 0, 369, 0, 0, 0, 0, 83, 71, 523
"m:\test\ESDBox_IPGUI\al\vfs\ipgui_vfs.h", "C", 0, 81, 0, 0, 0, 0, 2, 23, 106
"m:\test\ESDBox_IPGUI\base\Makefile", "Makefile", 58, 0, 0, 0, 0, 0, 15, 29, 102
"m:\test\ESDBox_IPGUI\base\inc\cache\ipgui_lru.h", "C++", 0, 0, 5, 0, 0, 0, 0, 3, 8
"m:\test\ESDBox_IPGUI\base\inc\ipgui_avl.h", "C", 0, 49, 0, 0, 0, 0, 0, 12, 61
"m:\test\ESDBox_IPGUI\base\inc\ipgui_darray.h", "C", 0, 31, 0, 0, 0, 0, 0, 26, 57
"m:\test\ESDBox_IPGUI\base\inc\ipgui_debug.h", "C", 0, 19, 0, 0, 0, 0, 0, 9, 28
"m:\test\ESDBox_IPGUI\base\inc\ipgui_math.h", "C", 0, 11, 0, 0, 0, 0, 0, 1, 12
"m:\test\ESDBox_IPGUI\base\inc\ipgui_membox.h", "C", 0, 25, 0, 0, 0, 0, 0, 6, 31
"m:\test\ESDBox_IPGUI\base\inc\ipgui_memory.h", "C", 0, 64, 0, 0, 0, 0, 3, 29, 96
"m:\test\ESDBox_IPGUI\base\inc\ipgui_mempool.h", "C", 0, 34, 0, 0, 0, 0, 0, 10, 44
"m:\test\ESDBox_IPGUI\base\inc\ipgui_norm_queue.h", "C++", 0, 0, 16, 0, 0, 0, 0, 6, 22
"m:\test\ESDBox_IPGUI\base\inc\ipgui_queue.h", "C++", 0, 0, 44, 0, 0, 0, 2, 15, 61
"m:\test\ESDBox_IPGUI\base\inc\ipgui_time.h", "C", 0, 13, 0, 0, 0, 0, 0, 9, 22
"m:\test\ESDBox_IPGUI\base\inc\ipgui_timer.h", "C", 0, 59, 0, 0, 0, 0, 1, 10, 70
"m:\test\ESDBox_IPGUI\base\inc\ipgui_vector.h", "C", 0, 15, 0, 0, 0, 0, 0, 10, 25
"m:\test\ESDBox_IPGUI\base\src\cache\ipgui_lru.c", "C", 0, 7, 0, 0, 0, 0, 0, 4, 11
