"filename", "language", "Makefile", "XML", "C", "HTML", "C++", "Markdown", "Log", "Ini", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\Include\ipgui_color.h", "C", 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"m:\test\ESDBox_IPGUI\Include\ipgui_conf.h", "C", 0, 0, 49, 0, 0, 0, 0, 0, 5, 14, 68
"m:\test\ESDBox_IPGUI\Include\ipgui_coord.h", "C", 0, 0, -21, 0, 0, 0, 0, 0, -1, -4, -26
"m:\test\ESDBox_IPGUI\Include\ipgui_core.h", "C", 0, 0, 23, 0, 0, 0, 0, 0, 23, 14, 60
"m:\test\ESDBox_IPGUI\Include\ipgui_defs.h", "C", 0, 0, -31, 0, 0, 0, 0, 0, -5, -11, -47
"m:\test\ESDBox_IPGUI\Include\ipgui_types.h", "C", 0, 0, 8, 0, 0, 0, 0, 0, 4, 3, 15
"m:\test\ESDBox_IPGUI\Include\ipgui_utils.h", "C", 0, 0, 12, 0, 0, 0, 0, 0, 12, 4, 28
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.c", "C", 0, 0, 106, 0, 0, 0, 0, 0, 31, 18, 155
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.h", "C", 0, 0, 5, 0, 0, 0, 0, 0, 3, 0, 8
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -3
"m:\test\ESDBox_IPGUI\al\hal\ipgui_rect_slice.c", "C", 0, 0, 51, 0, 0, 0, 0, 0, 164, 12, 227
"m:\test\ESDBox_IPGUI\al\hal\ipgui_rect_slice.h", "C++", 0, 0, 0, 0, 23, 0, 0, 0, 6, 11, 40
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.c", "C", 0, 0, 253, 0, 0, 0, 0, 0, 110, 64, 427
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.h", "C", 0, 0, 34, 0, 0, 0, 0, 0, -9, 12, 37
"m:\test\ESDBox_IPGUI\base\Makefile", "Makefile", -58, 0, 0, 0, 0, 0, 0, 0, -15, -29, -102
"m:\test\ESDBox_IPGUI\base\inc\cache\ipgui_lru.h", "C++", 0, 0, 0, 0, -5, 0, 0, 0, 0, -3, -8
