"filename", "language", "C", "Markdown", "C++", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\core\composite\blend_color\ipgui_blend_color.c", "C", 578, 0, 0, 101, 118, 797
"m:\test\ESDBox_IPGUI\core\composite\blend_color\ipgui_blend_color.h", "C++", 0, 0, 33, 0, 9, 42
"m:\test\ESDBox_IPGUI\core\composite\blend_gradient\ipgui_blend_gradient_color.c", "C", 223, 0, 0, 13, 43, 279
"m:\test\ESDBox_IPGUI\core\composite\blend_gradient\ipgui_blend_gradient_color.h", "C++", 0, 0, 36, 0, 7, 43
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.c", "C", 1923, 0, 0, 61, 119, 2103
"m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.h", "C++", 0, 0, 49, 28, 19, 96
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.c", "C", 50, 0, 0, 0, 1, 51
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.h", "C++", 0, 0, 34, 3, 9, 46
"m:\test\ESDBox_IPGUI\core\composite\ipgui_blend_mode.h", "C++", 0, 0, 8, 0, 3, 11
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_box_style.h", "C++", 0, 0, 14, 5, 4, 23
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.c", "C", 378, 0, 0, 27, 58, 463
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.h", "C++", 0, 0, 40, 0, 11, 51
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_background.c", "C", 199, 0, 0, 26, 35, 260
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_background.h", "C++", 0, 0, 22, 3, 8, 33
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_border.c", "C", 203, 0, 0, 25, 36, 264
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_border.h", "C++", 0, 0, 23, 0, 6, 29
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.c", "C", 186, 0, 0, 52, 31, 269
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.h", "C++", 0, 0, 25, 8, 7, 40
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_builtin_font.c", "C", 148, 0, 0, 19, 31, 198
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_builtin_font.h", "C++", 0, 0, 63, 6, 14, 83
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_filled_circle.c", "C", 27, 0, 0, 0, 3, 30
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_filled_circle.h", "C++", 0, 0, 16, 0, 6, 22
"m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.c", "C", 357, 0, 0, 60, 59, 476
