"filename", "language", "C", "C++", "HTML", "Markdown", "XML", "Python", "ARM", "CMake", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\Include\ipgui_color.h", "C", 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"m:\test\ESDBox_IPGUI\Include\ipgui_conf.h", "C", 53, 0, 0, 0, 0, 0, 0, 0, 5, 15, 73
"m:\test\ESDBox_IPGUI\Include\ipgui_coord.h", "C", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"m:\test\ESDBox_IPGUI\Include\ipgui_core.h", "C", 23, 0, 0, 0, 0, 0, 0, 0, 23, 14, 60
"m:\test\ESDBox_IPGUI\Include\ipgui_defs.h", "C", 7, 0, 0, 0, 0, 0, 0, 0, 2, 5, 14
"m:\test\ESDBox_IPGUI\Include\ipgui_types.h", "C", 66, 0, 0, 0, 0, 0, 0, 0, 13, 19, 98
"m:\test\ESDBox_IPGUI\Include\ipgui_utils.h", "C", 118, 0, 0, 0, 0, 0, 0, 0, 44, 39, 201
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.c", "C", 339, 0, 0, 0, 0, 0, 0, 0, 53, 64, 456
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.h", "C", 62, 0, 0, 0, 0, 0, 0, 0, 12, 15, 89
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 1, 5, 19
"m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src_event.h", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 2, 11, 43
"m:\test\ESDBox_IPGUI\al\hal\ipgui_rect_slice.c", "C", 51, 0, 0, 0, 0, 0, 0, 0, 164, 12, 227
"m:\test\ESDBox_IPGUI\al\hal\ipgui_rect_slice.h", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 6, 11, 40
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.c", "C", 294, 0, 0, 0, 0, 0, 0, 0, 112, 76, 482
"m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.h", "C", 69, 0, 0, 0, 0, 0, 0, 0, 10, 22, 101
"m:\test\ESDBox_IPGUI\al\vfs\ipgui_vfs.c", "C", 369, 0, 0, 0, 0, 0, 0, 0, 83, 71, 523
"m:\test\ESDBox_IPGUI\al\vfs\ipgui_vfs.h", "C", 81, 0, 0, 0, 0, 0, 0, 0, 2, 23, 106
"m:\test\ESDBox_IPGUI\base\inc\ipgui_avl.h", "C", 47, 0, 0, 0, 0, 0, 0, 0, 0, 13, 60
"m:\test\ESDBox_IPGUI\base\inc\ipgui_darray.h", "C", 29, 0, 0, 0, 0, 0, 0, 0, 0, 24, 53
"m:\test\ESDBox_IPGUI\base\inc\ipgui_debug.h", "C", 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"m:\test\ESDBox_IPGUI\base\inc\ipgui_math.h", "C", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"m:\test\ESDBox_IPGUI\base\inc\ipgui_membox.h", "C", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"m:\test\ESDBox_IPGUI\base\inc\ipgui_memory.h", "C", 56, 0, 0, 0, 0, 0, 0, 0, 3, 28, 87
"m:\test\ESDBox_IPGUI\base\inc\ipgui_mempool.h", "C", 34, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"m:\test\ESDBox_IPGUI\base\inc\ipgui_norm_queue.h", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"m:\test\ESDBox_IPGUI\base\inc\ipgui_queue.h", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 2, 17, 64
"m:\test\ESDBox_IPGUI\base\inc\ipgui_time.h", "C", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
