Date : 2026-08-25 12:11:23
Directory : m:\test\ESDBox_IPGUI
Total : 406 files,  412918 codes, 159011 comments, 34455 blanks, all 606384 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        227 |    370,584 |    136,972 |     28,266 |    535,822 |
| C++      |        145 |     29,181 |     21,876 |      4,894 |     55,951 |
| HTML     |         16 |     12,107 |         51 |      1,149 |     13,307 |
| CMake    |         11 |        578 |          0 |        100 |        678 |
| ARM      |          1 |        410 |         98 |         28 |        536 |
| Python   |          1 |         47 |         14 |         17 |         78 |
| Markdown |          2 |          8 |          0 |          1 |          9 |
| XML      |          3 |          3 |          0 |          0 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        406 |    412,918 |    159,011 |     34,455 |    606,384 |
| Include                                                                         |          7 |        298 |         87 |        102 |        487 |
| al                                                                              |         10 |      1,331 |        445 |        310 |      2,086 |
| al\hal                                                                          |          8 |        881 |        360 |        216 |      1,457 |
| al\hal (Files)                                                                  |          4 |        437 |        292 |        121 |        850 |
| al\hal\input                                                                    |          4 |        444 |         68 |         95 |        607 |
| al\vfs                                                                          |          2 |        450 |         85 |         94 |        629 |
| base                                                                            |         25 |      2,667 |        696 |        614 |      3,977 |
| base\inc                                                                        |         12 |        346 |         16 |        138 |        500 |
| base\src                                                                        |         13 |      2,321 |        680 |        476 |      3,477 |
| core                                                                            |        132 |     20,054 |      3,805 |      3,202 |     27,061 |
| core (Files)                                                                    |          1 |         23 |          3 |          6 |         32 |
| core\composite                                                                  |          9 |      2,950 |        206 |        328 |      3,484 |
| core\composite (Files)                                                          |          3 |         92 |          3 |         13 |        108 |
| core\composite\blend_color                                                      |          2 |        611 |        101 |        127 |        839 |
| core\composite\blend_gradient                                                   |          2 |        259 |         13 |         50 |        322 |
| core\composite\blend_image                                                      |          2 |      1,988 |         89 |        138 |      2,215 |
| core\gfx                                                                        |         51 |      8,097 |        844 |      1,365 |     10,306 |
| core\image                                                                      |         21 |      2,547 |        362 |        437 |      3,346 |
| core\image (Files)                                                              |          2 |         16 |          0 |          7 |         23 |
| core\image\decoder                                                              |         16 |      2,089 |        262 |        361 |      2,712 |
| core\image\decoder (Files)                                                      |          2 |         76 |          5 |         16 |         97 |
| core\image\decoder\bmp                                                          |          2 |        443 |        129 |         95 |        667 |
| core\image\decoder\gif                                                          |          3 |          0 |          0 |          3 |          3 |
| core\image\decoder\jpeg                                                         |          2 |        789 |         54 |         95 |        938 |
| core\image\decoder\png                                                          |          4 |        781 |         74 |        149 |      1,004 |
| core\image\decoder\qoi                                                          |          3 |          0 |          0 |          3 |          3 |
| core\image\proc                                                                 |          3 |        442 |        100 |         69 |        611 |
| core\ipml                                                                       |          2 |        179 |         84 |         52 |        315 |
| core\misc                                                                       |          8 |        949 |         82 |         91 |      1,122 |
| core\ui                                                                         |         31 |      1,196 |      1,762 |        472 |      3,430 |
| core\ui\animation                                                               |          9 |        220 |        109 |         70 |        399 |
| core\ui\animation (Files)                                                       |          4 |        188 |         68 |         51 |        307 |
| core\ui\animation\builtin_anim                                                  |          5 |         32 |         41 |         19 |         92 |
| core\ui\layout                                                                  |          4 |          0 |          0 |          4 |          4 |
| core\ui\widget_manager                                                          |         18 |        976 |      1,653 |        398 |      3,027 |
| core\vector_render                                                              |          9 |      4,113 |        462 |        451 |      5,026 |
| font                                                                            |         94 |    350,028 |    132,164 |     24,065 |    506,257 |
| font\opensans                                                                   |         47 |    174,028 |    125,862 |     12,010 |    311,900 |
| font\quicksand                                                                  |         47 |    176,000 |      6,302 |     12,055 |    194,357 |
| port                                                                            |        108 |     30,046 |     21,637 |      5,161 |     56,844 |
| port (Files)                                                                    |          1 |          5 |          4 |          2 |         11 |
| port\arm                                                                        |         13 |      2,259 |        643 |        880 |      3,782 |
| port\arm\cpu                                                                    |          1 |        410 |         98 |         28 |        536 |
| port\arm\scr_driver                                                             |         12 |      1,849 |        545 |        852 |      3,246 |
| port\arm\scr_driver\f1c100s                                                     |          4 |      1,135 |        362 |        693 |      2,190 |
| port\arm\scr_driver\imx6ull                                                     |          3 |        161 |         23 |         44 |        228 |
| port\arm\scr_driver\stm32                                                       |          5 |        553 |        160 |        115 |        828 |
| port\arm\scr_driver\stm32\stm32f4                                               |          5 |        553 |        160 |        115 |        828 |
| port\sdl                                                                        |         94 |     27,782 |     20,990 |      4,279 |     53,051 |
| port\sdl (Files)                                                                |          4 |        133 |         40 |         32 |        205 |
| port\sdl\include                                                                |         79 |     27,071 |     20,950 |      4,147 |     52,168 |
| port\sdl\include\SDL2                                                           |         79 |     27,071 |     20,950 |      4,147 |     52,168 |
| port\sdl\lib                                                                    |         11 |        578 |          0 |        100 |        678 |
| port\sdl\lib\cmake                                                              |         11 |        578 |          0 |        100 |        678 |
| port\sdl\lib\cmake\SDL2                                                         |         11 |        578 |          0 |        100 |        678 |
| tools                                                                           |         16 |      7,816 |         45 |        851 |      8,712 |
| tools (Files)                                                                   |         14 |      7,763 |         31 |        833 |      8,627 |
| tools\提取png的alpha通道                                                             |          2 |         53 |         14 |         18 |         85 |
| widget                                                                          |         14 |        678 |        132 |        150 |        960 |
| widget\inc                                                                      |          2 |          0 |          0 |          2 |          2 |
| widget\src                                                                      |         12 |        678 |        132 |        148 |        958 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                        | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| m:\test\ESDBox_IPGUI\Include\ipgui_color.h                                      | C        |         23 |          0 |          7 |         30 |
| m:\test\ESDBox_IPGUI\Include\ipgui_conf.h                                       | C        |         53 |          5 |         15 |         73 |
| m:\test\ESDBox_IPGUI\Include\ipgui_coord.h                                      | C        |          8 |          0 |          3 |         11 |
| m:\test\ESDBox_IPGUI\Include\ipgui_core.h                                       | C        |         23 |         23 |         14 |         60 |
| m:\test\ESDBox_IPGUI\Include\ipgui_defs.h                                       | C        |          7 |          2 |          5 |         14 |
| m:\test\ESDBox_IPGUI\Include\ipgui_types.h                                      | C        |         66 |         13 |         19 |         98 |
| m:\test\ESDBox_IPGUI\Include\ipgui_utils.h                                      | C        |        118 |         44 |         39 |        201 |
| m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.c                      | C        |        339 |         53 |         64 |        456 |
| m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_dispatcher.h                      | C        |         62 |         12 |         15 |         89 |
| m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src.h                             | C++      |         13 |          1 |          5 |         19 |
| m:\test\ESDBox_IPGUI\al\hal\input\ipgui_input_src_event.h                       | C++      |         30 |          2 |         11 |         43 |
| m:\test\ESDBox_IPGUI\al\hal\ipgui_rect_slice.c                                  | C        |         51 |        164 |         12 |        227 |
| m:\test\ESDBox_IPGUI\al\hal\ipgui_rect_slice.h                                  | C++      |         23 |          6 |         11 |         40 |
| m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.c                                      | C        |        294 |        112 |         76 |        482 |
| m:\test\ESDBox_IPGUI\al\hal\ipgui_screen.h                                      | C        |         69 |         10 |         22 |        101 |
| m:\test\ESDBox_IPGUI\al\vfs\ipgui_vfs.c                                         | C        |        369 |         83 |         71 |        523 |
| m:\test\ESDBox_IPGUI\al\vfs\ipgui_vfs.h                                         | C        |         81 |          2 |         23 |        106 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_avl.h                                       | C        |         47 |          0 |         13 |         60 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_darray.h                                    | C        |         29 |          0 |         24 |         53 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_debug.h                                     | C        |         16 |          0 |          6 |         22 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_math.h                                      | C        |         10 |          0 |          3 |         13 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_membox.h                                    | C        |         22 |          0 |          6 |         28 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_memory.h                                    | C        |         56 |          3 |         28 |         87 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_mempool.h                                   | C        |         34 |          0 |         11 |         45 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_norm_queue.h                                | C++      |         16 |          0 |          6 |         22 |
