========================================
  IPGUI Timer Human-Centric Test Suite
========================================

[A] Precision tests
    p=1 d=0: OK (12 fires, gap at t=1)
    p=1 d=1: OK (13 fires)
    p=1 d=7: OK (13 fires)
    p=1 d=50: OK (13 fires)
    p=1 d=300: OK (13 fires)
    p=1 d=5000: OK (13 fires)
    p=2 d=0: OK (12 fires)
    p=2 d=1: OK (12 fires)
    p=2 d=7: OK (12 fires)
    p=2 d=50: OK (12 fires)
    p=2 d=300: OK (12 fires)
    p=2 d=5000: OK (12 fires)
    p=3 d=0: OK (12 fires)
    p=3 d=1: OK (12 fires)
    p=3 d=7: OK (12 fires)
    p=3 d=50: OK (12 fires)
    p=3 d=300: OK (12 fires)
    p=3 d=5000: OK (12 fires)
    p=4 d=0: OK (12 fires)
    p=4 d=1: OK (12 fires)
    p=4 d=7: OK (12 fires)
    p=4 d=50: OK (12 fires)
    p=4 d=300: OK (12 fires)
    p=4 d=5000: OK (12 fires)
    p=5 d=0: OK (12 fires)
    p=5 d=1: OK (12 fires)
    p=5 d=7: OK (12 fires)
    p=5 d=50: OK (12 fires)
    p=5 d=300: OK (12 fires)
    p=5 d=5000: OK (12 fires)
    p=6 d=0: OK (12 fires)
    p=6 d=1: OK (12 fires)
    p=6 d=7: OK (12 fires)
    p=6 d=50: OK (12 fires)
    p=6 d=300: OK (12 fires)
    p=6 d=5000: OK (12 fires)
    p=7 d=0: OK (12 fires)
    p=7 d=1: OK (12 fires)
    p=7 d=7: OK (12 fires)
    p=7 d=50: OK (12 fires)
    p=7 d=300: OK (12 fires)
    p=7 d=5000: OK (12 fires)
    p=8 d=0: OK (12 fires)
    p=8 d=1: OK (12 fires)
    p=8 d=7: OK (12 fires)
    p=8 d=50: OK (12 fires)
    p=8 d=300: OK (12 fires)
    p=8 d=5000: OK (12 fires)
    p=9 d=0: OK (12 fires)
    p=9 d=1: OK (12 fires)
    p=9 d=7: OK (12 fires)
    p=9 d=50: OK (12 fires)
    p=9 d=300: OK (12 fires)
    p=9 d=5000: OK (12 fires)
    p=10 d=0: OK (12 fires)
    p=10 d=1: OK (12 fires)
    p=10 d=7: OK (12 fires)
    p=10 d=50: OK (12 fires)
    p=10 d=300: OK (12 fires)
    p=10 d=5000: OK (12 fires)
    p=11 d=0: OK (12 fires)
    p=11 d=1: OK (12 fires)
    p=11 d=7: OK (12 fires)
    p=11 d=50: OK (12 fires)
    p=11 d=300: OK (12 fires)
    p=11 d=5000: OK (12 fires)
    p=12 d=0: OK (12 fires)
    p=12 d=1: OK (12 fires)
    p=12 d=7: OK (12 fires)
    p=12 d=50: OK (12 fires)
    p=12 d=300: OK (12 fires)
    p=12 d=5000: OK (12 fires)
    p=13 d=0: OK (12 fires)
    p=13 d=1: OK (12 fires)
    p=13 d=7: OK (12 fires)
    p=13 d=50: OK (12 fires)
    p=13 d=300: OK (12 fires)
    p=13 d=5000: OK (12 fires)
    p=14 d=0: OK (12 fires)
    p=14 d=1: OK (12 fires)
    p=14 d=7: OK (12 fires)
    p=14 d=50: OK (12 fires)
    p=14 d=300: OK (12 fires)
    p=14 d=5000: OK (12 fires)
    p=15 d=0: OK (12 fires)
    p=15 d=1: OK (12 fires)
